timestamp,open,high,low,close,volume
11/5/18 2:00,33.18,33.19,33.16,33.18,36632
11/5/18 1:59,33.18,33.19,33.17,33.18,17115
11/5/18 1:58,33.175,33.19,33.17,33.18,18140
11/5/18 1:57,33.18,33.19,33.17,33.18,17036
11/5/18 1:56,33.18,33.18,33.17,33.17,16405
11/5/18 1:55,33.18,33.185,33.17,33.17,36913
11/5/18 1:54,33.17,33.18,33.16,33.17,13661
11/5/18 1:53,33.17,33.18,33.16,33.16,28995
11/5/18 1:52,33.165,33.17,33.16,33.16,7903
11/5/18 1:51,33.16,33.17,33.15,33.16,22385
11/5/18 1:50,33.16,33.17,33.15,33.17,16348
11/5/18 1:49,33.17,33.18,33.16,33.16,38565
11/5/18 1:48,33.155,33.17,33.15,33.16,9547
11/5/18 1:47,33.14,33.16,33.14,33.16,15802
11/5/18 1:46,33.15,33.15,33.14,33.14,10598
11/5/18 1:45,33.135,33.15,33.135,33.14,10613
11/5/18 1:44,33.16,33.16,33.13,33.13,31843
11/5/18 1:43,33.145,33.16,33.14,33.16,30954
11/5/18 1:42,33.14,33.15,33.14,33.14,20392
11/5/18 1:41,33.13,33.14,33.13,33.14,3480
11/5/18 1:40,33.14,33.14,33.13,33.14,5542
11/5/18 1:39,33.14,33.14,33.13,33.135,2287
11/5/18 1:38,33.14,33.14,33.14,33.14,1153
11/5/18 1:37,33.13,33.14,33.12,33.13,41144
11/5/18 1:36,33.13,33.13,33.13,33.13,1276
11/5/18 1:35,33.13,33.13,33.11,33.12,6391
11/5/18 1:34,33.14,33.15,33.12,33.12,28792
11/5/18 1:33,33.135,33.15,33.13,33.14,25196
11/5/18 1:32,33.135,33.14,33.12,33.13,10963
11/5/18 1:31,33.13,33.14,33.12,33.13,5614
11/5/18 1:30,33.13,33.13,33.12,33.12,14062
11/5/18 1:29,33.13,33.13,33.12,33.12,2385
11/5/18 1:28,33.12,33.13,33.11,33.12,10569
11/5/18 1:27,33.14,33.14,33.11,33.13,15472
11/5/18 1:26,33.14,33.14,33.13,33.13,1285
11/5/18 1:25,33.13,33.14,33.12,33.14,9019
11/5/18 1:24,33.12,33.13,33.11,33.12,14900
11/5/18 1:23,33.14,33.14,33.11,33.12,12537
11/5/18 1:22,33.125,33.14,33.12,33.13,9975
11/5/18 1:21,33.12,33.14,33.12,33.12,5045
11/5/18 1:20,33.115,33.14,33.115,33.12,25229
11/5/18 1:19,33.13,33.13,33.115,33.115,13940
11/5/18 1:18,33.135,33.15,33.13,33.13,4028
11/5/18 1:17,33.145,33.15,33.13,33.14,13573
11/5/18 1:16,33.14,33.16,33.13,33.15,30260
11/5/18 1:15,33.135,33.14,33.12,33.135,20308
11/5/18 1:14,33.135,33.14,33.13,33.135,1030
11/5/18 1:13,33.135,33.14,33.13,33.135,504
11/5/18 1:12,33.135,33.14,33.13,33.135,6642
11/5/18 1:11,33.135,33.14,33.13,33.13,9421
11/5/18 1:10,33.14,33.14,33.13,33.14,1399
11/5/18 1:09,33.13,33.14,33.12,33.13,1123
11/5/18 1:08,33.13,33.14,33.12,33.12,11258
11/5/18 1:07,33.12,33.14,33.12,33.13,12439
11/5/18 1:06,33.125,33.13,33.12,33.13,2497
11/5/18 1:05,33.14,33.14,33.12,33.12,9705
11/5/18 1:04,33.12,33.14,33.12,33.13,18441
11/5/18 1:03,33.11,33.115,33.11,33.11,1385
11/5/18 1:02,33.11,33.115,33.1,33.11,3160
11/5/18 1:01,33.12,33.13,33.1,33.11,18709
11/5/18 1:00,33.135,33.135,33.11,33.12,13249
11/5/18 0:59,33.14,33.15,33.13,33.13,7798
11/5/18 0:58,33.14,33.155,33.14,33.15,19424
11/5/18 0:57,33.14,33.15,33.13,33.14,7226
11/5/18 0:56,33.15,33.15,33.14,33.14,10285
11/5/18 0:55,33.15,33.15,33.14,33.14,935
11/5/18 0:54,33.15,33.15,33.14,33.14,3038
11/5/18 0:53,33.14,33.15,33.14,33.15,1136
11/5/18 0:52,33.145,33.15,33.14,33.14,4605
11/5/18 0:51,33.14,33.15,33.14,33.15,4421
11/5/18 0:50,33.14,33.15,33.13,33.145,4598
11/5/18 0:49,33.14,33.15,33.13,33.14,7777
11/5/18 0:48,33.14,33.15,33.13,33.14,61025
11/5/18 0:47,33.13,33.14,33.12,33.14,2241
11/5/18 0:46,33.125,33.13,33.12,33.13,4128
11/5/18 0:45,33.13,33.13,33.12,33.13,5945
11/5/18 0:44,33.13,33.14,33.12,33.13,9196
11/5/18 0:43,33.11,33.14,33.11,33.13,5760
11/5/18 0:42,33.12,33.12,33.11,33.12,4268
11/5/18 0:41,33.12,33.13,33.11,33.13,2372
11/5/18 0:40,33.13,33.13,33.11,33.12,2015
11/5/18 0:39,33.12,33.14,33.11,33.13,12066
11/5/18 0:38,33.13,33.13,33.12,33.13,5303
11/5/18 0:37,33.13,33.14,33.12,33.12,6520
11/5/18 0:36,33.13,33.14,33.11,33.13,13964
11/5/18 0:35,33.13,33.13,33.12,33.12,2711
11/5/18 0:34,33.12,33.13,33.12,33.125,22615
11/5/18 0:33,33.12,33.12,33.11,33.11,6437
11/5/18 0:32,33.12,33.12,33.11,33.11,5642
11/5/18 0:31,33.11,33.12,33.1,33.12,3570
11/5/18 0:30,33.11,33.12,33.1,33.1,5103
11/5/18 0:29,33.12,33.13,33.11,33.11,11040
11/5/18 0:28,33.12,33.13,33.11,33.13,5502
11/5/18 0:27,33.11,33.12,33.1,33.12,7879
11/5/18 0:26,33.11,33.11,33.1,33.1,6366
11/5/18 0:25,33.11,33.12,33.1,33.11,7741
11/5/18 0:24,33.11,33.12,33.1,33.12,8714
11/5/18 0:23,33.105,33.11,33.1,33.1,29901
11/5/18 0:22,33.095,33.11,33.09,33.11,4657
11/5/18 0:21,33.095,33.1,33.09,33.09,6768
